urn,name,city,postcode
100027,Eleanor Palmer Primary School,London,NW5 2JA
100028,"Christ Church Primary School, Hampstead",Hampstead,NW3 1JH
100113,Bannockburn Primary School,London,SE18 1HE
100158,Heronsgate Primary School,London,SE28 0EA
100190,The Royal Greenwich School Alliance,London,SE3 9PX
100234,The Viridis Schools Partnership,Hackney,E9 7BB
100250,Hackney Teaching Schools' Alliance,Clapton,E5 0RB
100258,Grazebrook Primary School,Stoke Newington,N16 0QP
100263,Primary Advantage,Hackney,E8 3DY
100457,Elizabeth Garrett Anderson School,London,N1 9QG
100591,Wyvil Primary School,Vauxhall Street,SE11 5LG
100613,St Andrews CE Primary School,London,SW9 9DE
100625,Lilian Baylis Technology School,London,SE11 5LG
10064,Inspire Partnership,London,SE18 7EX
100668,South Thames Early Education Partnership & Goldsmiths University (STEEPtsa),Brockley,SE4 2QQ
100706,REAch Teach Primary Partnership,Deptford,SE8 4RJ
100710,Education Teaching Alliance Lewisham,Honor Oak Road,SE23 3SB
100750,Prendergast School,"",SE4 1LE
100861,Dulwich College,London ,SE21 7LD
100960,St Peter's London Docks CofE Primary School,London,E1W 3QT
100977,Stepney All Saints Partnership,London,E1 0RH
101111,Essendine Primary School,Maida Vale,W9 2LR
101136,St Mary's Bryanston Square,London,W1H 1DL
101219,Aspire Education Alliance,Romford,RM6 6DA
101264,Brunswick Park Alliance,Southgate,N14 5DU
101497,Brent Initial Teacher Training (BITT),Wembley,HA0 3SF
101933,Teach West London Teaching School Hub,Acton,W3 9PP
101966,Castlebar School,Ealing,W13 0DH
101997,Hazelwood Schools FIPC,Harlow,CM18 7HT
102022,De Bohun Primary School FIPC,Southgate,N14 4AD
102028,Forty Hill CofE Primary School,Enfield,EN2 9EY
102097,Coldfall Primary School,Muswell Hill,N10 1HS
102139,St Mary's CofE Primary,London,N8 7BU
102157,Gladesmore Community School,Tottenham,N15 6EB
102239,Harrow Collegiate Alliance,Harrow,HA2 0AD
102291,Romford Teacher Training Partnership FIPC,Romford,RM5 3QR
102418,Holy Trinity CofE Primary School,Northwood,HA6 2RH
102683,Teach Wimbledon,London,SW20 8HA
102698,Merton Special Training Association,Morden,SM4 6RU
102752,Colegrave Primary School (SCITTELS),Stratford,E15 1JY
102786,St Angela's Teacher Training Centre,Forest Gate,E7 8HU
102787,Agnus Dei Catholic Schools,London,E7 9QD
102856,Seven Kings Learning Partnership,Ilford,IG2 7BT
102857,Valentines High School,Gants Hill,IG26HX
102997,The Federation of St. Elphege’s Catholic Schools,Wallington,SM6 9HY
103070,Henry Maynard Primary School,Walthamstow,E17 9JE
103100,Waltham Forest Partnership,Walthamstow,E17 6ND
103189,Colmore Partnership Training School Alliance,Kings Heath,B14 6AJ
103227,The Lozells School Direct Programme,Birmingham,B19 2EP
103341,The Federation of Boldmere Schools,Sutton Coldfield,B73 5SD
103445,Bournville Village Primary School,Birmingham,B30 1JY
103531,St Paul's Caritas Christi,Birmingham,B16 9SL
103560,Bishop Challoner Training School,Kings Heath,B14 7EG
103760,Sherbourne Fields School,Coventry,CV6 1PR
103941,Crocketts Community Primary School,Smethwick,B67  7DW
103991,St John Bosco ITT,Smethwick,B67 7JG
104045,Dorridge Alliance,Solihull,B93 8EU
104119,St Peter's Solihull Teaching School Alliance,Solihull,B91 3NZ
104212,Lindens,Streetly,B742BB
104453,Mersey Boroughs ITT Partnership (School Direct),Prescot,L35 5DN
104557,MAITT (Merseyside Alliance Initial Teacher Training),Liverpool,L8 9UB
104705,Archbishop Blanch School,Liverpool,L7 6HQ
104715,St John Bosco,Croxteth,L11 9DQ
104748,Palmerston School,Liverpool,L17 6AU
104751,Merseyside Special Schools Alliance,Liverpool,L5 3LU
104774,St Helens ONE - Grange Valley Primary,St Helens,WA11 0XQ
104863,Owls,Southport,PR83DF
104869,Hudson Primary School,Maghull,L31 5LE
104884,Green Park Primary School,Maghull,L31 8BW
105086,Birkenhead North Schools Partnership,Birkenhead,CH41 8DU
105202,Eatock School Direct,Bolton,BL5 2ER
105243,Teach Heart Alliance,Westhoughton,BL5 3DU
105253,SD at Turton,Bolton,BL7 9LT
105648,Mills Hill Primary,Oldham,OL9 0NH
105787,Boarshaw Community Primary School,Manchester,M24 2PB
105811,Arch Alliance - All Souls' CE Primary,Heywood,OL10 4DF
105910,Salford Alliance of Learning Schools,Swinton,M27 0LN
105933,St Andrew's Alliance,Salford,M28 1HS
105986,St Patrick's Greater Manchester Alliance,Salford,M30 7JJ
106376,Blessed Thomas Holford Catholic College,Altrincham,WA15 8HT
106460,WCPSD,Wigan,WN1 3RZ
106525,Golborne Trinity,Warrington,WA3 3EL
106540,Wigan and West Lancashire Catholic School Direct,Ashton in Makerfield,WN49PF
106653,Penistone Area Partnership,Sheffield,S36 7BX
10688,Basingstoke Alliance SCITT,Basingstoke,RG21 5SU
107190,St Edmund's Nursery School & Children's Centre,Girlington,BD8 9QW
107249,East One Partnership,Bradford,BD2 3PU
107270,Saltaire Primary School Direct,"Saltaire, Shipley",BD18 4NR
107309,Ilkley All Saints' Teacher Training Partnership,Ilkley,LS29 9BE
107439,Bingley Grammar School Direct,Bingley,BD16 2RS
107580,Valley Trust (formerly TRISIS),Brighouse,HD6 2NY
107809,Aireborough Partnership,Rawdon,LS19 6PP
108021,St Anthony's Primary Learning Partnership,Leeds,LS11 7JS
108297,Diocese of Leeds BKCAT Alliance,Featherstone,WF7 6BD
108526,NEAT ITT,North Shields,NE29 7ST
108579,Shiremoor Primary School Partnership School Direct,Newcastle upon Tyne,NE270PW
108607,North Tyneside SCITT (New York Primary School Direct),Wallsend,NE28 0HG
108638,Whitley Bay Teacher Training,Whitley Bay,NE25 9AS
108641,Northumbria Art and Design Partnership,Wallsend,NE25 0LB
108644,John Spence Community High School,North Shields,NE29 9PU
108655,Benton Dene School,Longbenton,NE12 8fd
108753,Sunderland Nursery Schools,Sunderland,SR4 9AX
108818,Washington and Chester le Street Teacher Training Alliance,Washington,NE38 9EZ
108882,Sunningdale School,Sunderland,SR3 2PP
108910,Bristol Primary Training and Support Alliance (Whitehall Primary/Ashley Down Primary),Bristol,BS14 0LL
109108,Growing Expert Teachers,Nailsea,BS48 1BB
109164,Five Counties Teaching School Hub (South Glos and BANES),Bristol,BS16 7EY
109417,Peter Pan Training Partnership,Bedford,MK42 9DR
109578,Hillborough Junior School,Luton,LU1 5EZ
109661,Castle Newnham Partnership,Bedford,MK41 9DT
109781,Geoffrey Field Junior School,Reading,RG 2 8RH
109847,Forest Learning Alliance,Sandhurst,GU47 9BP
110048,Two Counties,"Burghfield Common, Reading",RG7 3XJ
110102,The Downland Alliance,Newbury,RG20 6AD
110282,Bedgrove Infant School,Aylesbury,HP21 9DJ
110356,Ashmead Combined School,Aylesbury,HP21 8SU
110632,Fenland Alliance ,March,PE15 0TF
110951,Samuel Pepys School,St Neots,PE19 2EZ
111159,East Cheshire School Direct Partnership,Rode Heath,ST7 3RY 
111430,Culcheth Campus,Culcheth,WA3 5HH
111435,Wade Deacon Trust,Widnes,WA8 7TD
111698,St John Vianney RC Primary School,Hartlepool,TS24 9PA
112325,Kendal Primary Partnership,Natland,LA9 7QH
112474,Harrington Nursery School,Derby,DE23 8PE
112485,Alfreton Nursery School,Derby,DE553SH
112847,Ashbourne Dove Valley Federation ITT,Ashbourne,DE6 1LW
113033,Matrix ITT,Alfreton,DE55 1AR
113253,Horrabridge Primary & Nursery School,Yelverton,PL20 7SZ
113479,Devon Moorland Schools Partnership,Yelverton,PL20 7NA
113541,Teach South West (WeST),Ivybridge,PL21 0JA
113771,"St John's Church of England First School, Wimborne",Wimborne,BH21 1PL
113901,Jurassic Coast Teacher Network,Lyme Regis,DT7 3LX
113960,TADSS ITT Partnership,Weymouth,DT3 6AA
113961,"Linwood Training, Support and Advice",Poole,BH17 8AP
114080,Durham Schools Together,Durham,DH6 4EJ
114230,Durham St Margaret's,Durham,DH1 4QB
114412,Benfield Primary School,Brighton,BN41 1XS
114587,Wealden Partnership,Old Heathfield,TN21 8RJ
114592,Eastbourne Area School Direct Alliance,Eastbourne,BN20 9QX
114607,BHSSA,Hove,BN3 8AA
114612,Hastings and Rother Alliance,Bexhill on Sea,TN40 1SE
114827,Zengage Teacher Training Essex,Witham,CM8 1FR
114875,Felsted Primary School,Dunmow,CM6 3EB
115356,TTTC (Thurrock Teacher Training Company),Thurrock,SS17 0NW
116109,Aspire Community Trust,Southampton,SO17 3SZ
116234,Newport Junior School,Aldershot,GU12 4RZ
116305,Aspire Teaching Alliance,Overton,RG25 3ES
116337,Alton Schools Teaching Alliance,Rowledge,GU10 4BW
116412,Court Moor Partnership,Fleet,GU52 7RY
116424,The Rural Schools Alliance,"",SO32 2RB
116436,Calthorpe Park North East Hants and Surrey Borders Consortium,Fleet,GU51 5JA
116458,Bitterne Park Teacher Training Alliance,Bitterne Park,SO18 1BU
116468,Winchester Schools’ Partnership,Winchester,SO22 5PN
116498,Coastal Teaching Partnership South,"Stubbington, Fareham",PO14 2AT
116620,Southampton Inclusion Partnership,Southampton,SO19 6DH
116665,Bromsgrove Primary Alliance,"Blackwell, Bromsgrove",B60 1BN
116684,Marlbrook Collaboration of Schools,Hereford,HR2 7NT
116919,River Wye Federation,Ross-on-Wye,HR9 6DA
117062,Chadsgrove Training School,Bromsgrove,B61 0JL
117079,Acorns Early Years Training Centre,Welwyn Garden City,AL7 3RP
117530,Stevenage Schools' Partnership,Stevenage,SG2 0HS
117814,Horizon Schools Direct,Hull,HU8 9JH
117889,Riding Forward Education Alliance,Beverley,HU17 7HF
118182,Island Teaching Alliance,Brading,PO36 0DS
118456,Claremont Primary School,Tunbridge Wells,TN2 5EB
118505,Shepway Teacher Training,Folkestone,CT20 3QU
118840,Canterbury Teaching Alliance,Canterbury,CT1 3EW
118923,Medway Valley Training Partnership,Rochester,ME1 2UW
119055,KsENT,Maidstone,ME15 9QF
119301,BBL Teacher Training,Poulton-le-Fylde,FY6 7HE
119406,Forward First School Direct,Skelmersdale,WN8 8PW
119466,Yarrow Schools Alliance,Chorley,PR7 3JU
119757,East Lancashire School Direct,Accrington,BB5 2QY
119759,Preston Primary and Secondary Alliance,Woodplumpton Lane,PR3 5JJ
119767,Pennine Lancashire Alliance,Rossendale,BB4 4EY
119779,Catholic Teaching Alliance (North),Fulwood,PR2 3SQ
120221,Catholic Schools (School Direct),"Leicester, Leicestershire",LE3 6DG
120352,Loughborough Learning Alliance,Loughborough,LE11 4SQ
120376,Lincolnshire Schools ITT Partnership,"Eagle, Lincoln",LN6 9EJ
120402,Bourne Westfield Primary Academy,Deeping St James,PE6 8NF
120589,The Bardney Church Of England And Methodist Primary School,Bardney,LN3 5XJ
120755,St Francis School,Lincoln,LN1 3TJ
120784,The Bawburgh School,Ipswich,IP4 1JN
120851,Sheringham Community Primary School Partnership,Sheringham,NR26 8UH
120914,White Woman Lane Junior School,Norwich,NR6 7JA
121267,Scarborough Teaching Alliance,Scarborough,YO12 6TH
121300,Stafford Primary Schools' Teaching Partnership,Stafford,ST17 0PR
121481,The Swaledale Alliance,Brompton Park,DL10 7JW
121610,Esk Valley Alliance,Whitby,YO21 1UT
121653,Polaris,Malton,YO17 7DB
121699,White Rose Alliance,King James Road,HG5 8EB
121720,All Saints RC School,York,YO24 1BJ
122160,Fairfields School,Northampton,NN2 6JN
122242,Tyne Valley Alliance,Hexham,NE46 3QZ
122717,Kirkby Primary Partnership,Kirkby in Ashfield,NG17 7BT
123126,St. Andrew's Teaching Alliance,Chinnor,OX39 4PU
12345,LEAD Teaching School Hub Lincolnshire,North Hykeham,LN6 9ST
123547,St. Michael's Federation,Lydbury North,SY7 8AU
123635,Severn Training and Schools Alliance,Brookside,TF3 1LP
123944,Yeovil Area Teacher Training Alliance,Yeovil,BA21 5AZ
123999,Willows School Direct Partnership,Off Weston Road,WS13 7NU
124238,North Staffordshire School Direct,Stoke-on-Trent,ST6 8TA
124544,Exning Primary School,Exning,CB8 7EW
124582,Fairfield Infant School,Felixstowe,IP11 9JB
124690,Barrow CEVC Primary School,Bury St Edmunds,IP29 5AU
124802,Thurston Community College,Thurston,IP31 3PB
124840,Northgate High School,Ipswich,IP4 3DL
125194,St. Mary's Learning Alliance,Oxted,RH80NP
125200,Godalming Learning Partnership,Witley,GU8 5PB
125231,Littleton CofE Infant School,Shepperton,TW17 0QE
125264,Surrey Downs Partnership,Dorking,RH4 1LY
125471,Innovation Teacher Training,Farnham,GU9 8HB
125488,Warwickshire Early Years Hub,Kenilworth,CV8 1JP
125507,Gateway Alliance (Midlands),Kenilworth,CV8 1FS
125528,Welford-on-Avon Primary School,Stratford-upon-Avon,CV37 8ER
125747,Kenilworth Partnership,Kenilworth,CV8 2DA
126063,Chichester High School,Sidcup,DA14 5AA
126066,The Millais Alliance,Horsham,RH13 5HR
130487,City of Liverpool College,Liverpool,L3 5TP
130594,York College,York,YO23 2BB
130908,Macmillan Academy Training School,MIDDLESBROUGH,TS5 4AG
130909,Dixons Academies Trust,Bradford,BD5 7RR
131203,West Jesmond Primary,Newcastle-upon-Tyne,NE2 3AJ
131232,Pen Green Centre for Children and Their Families,Corby,NN17 1AG
131304,Mayespark Primary School TIRFIPC,Ilford,IG3 9PX
131407,Oakthorpe Primary School,"",N13 6BY
131570,Springboard,Leeds,LS6 2DT
131737,The London-Exeter Partnership,London,E1 1NT
131876,Debden Park High School,Sidcup,DA14 5AA
131879,Risley Avenue Primary School,London,N17 7AB
131880,Teach Manchester,Manchester,M12 4WB
132763,Hampton Hargate Primary School,Peterborough,PE7 8BZ
132776,Havering Train2Teach,Upminster,RM14 1SW
133312,Abacus Primary School,Essex,EX5 5EX
133332,Greenbank Primary Liverpool,Liverpool,L18 1JB
133934,Gearies Primary School TIRFIPC,Ilford,IG2 6TF
133935,Churchfields Junior School TIRFIPC,Redbridge,E18 2RB
134042,Oriel ITT Partnership,Crawley,RH10 7XW
134798,AIM Alliance Schools,Edgware,HA8 8DE
134855,Prince Bishops Community Primary School,Coundon Grange,DL14 8DY
134861,Edwards Hall Primary School,Southend On Sea,SS9 5AQ
135007,Emmanuel Teacher Training Partnership,Lobley Hill,NE11 0AN
135073,Haberdashers’ Academies Trust South,New Cross,SE14 5NY
135120,Landau Forte Teacher Training,Derby,DE1 2LF
135170,Shireland Teacher Training,Smethwick,B66 4ND
135228,Yorkshire Special Education Partnership (YSEP),Bradford,BD6 1EA
135305,Education for the 21st Century,,
135311,NIoT@Harris Initial Teacher Education,London ,SE16 3TZ
135317,Northamptonshire Teaching School Hub,Corby,NN18 8LA
135497,Wirral Schools Collaboration (Pensby),Pensby,CH61 5UE
135507,Wren Academy,London,N12 9HB
135565,The Priory Academy LSST,Lincoln,LN6 0EP
135575,Bristol Cathedral,Bristol,BS1 5TS
135632,One Cumbria Teaching School Hub,,
135818,Castle View Enterprise Teaching Alliance,Sunderland,SR5 3DX
135907, E-ACT Academies Trust,Birmingham,B7 4QR
135940,South Cumbria School Direct,Barrow-in-Furness,LA13 9BB
135945,National Online Teacher Training,Hull,HU4 7JB
135961,NIoT@Outwood Grange Academies Trust,Doncaster,DN6 7RQ
135964,The Leigh Academy,Rochester,ME2 2SX
136013,The Bay Church of England Primary,Sandown,PO36 9BA
136044,St George's Academy,Sleaford,NG34 7PP
136094,NIoT@Trinity Institute of Education ,Halifax,HX2 0TJ
136102,Co-op Academies Trust,Manchester,M60 0AG
136115,The Oldham Academy North,Oldham,OL2 5BF
136128,Kent Oaks Consortium,Sevenoaks,TN13 3LE
136145,Ormiston Sir Stanley Matthews Academy,Blurton,ST3 3JD
136187,The OAKS Norfolk,Gorleston,NR31 7JJ
136197,The John Wallis Church of England Academy,Ashford,TN23 3HG
136268,Tollbar Academy,New Waltham,DN36 4RZ
136271,Hartismere School,Eye,IP23 7BL
136277,Harbour Learning Trust,Healing,DN41 7QD
136278,Teach Cheshire,Macclesfield,SK10 4AF
136279,Brine Leas School,"",CW5 7DY
136283,Heckmondwike Grammar School,Kirklees,WF16 0AH
136286,Swale Academies Trust,"",ME10 1PF
136287,Uffculme School,Uffculme,EX15 3AG
136289,Watford Grammar School for Girls,Watford,WD18 0AE
136292,The Cotswold Teacher Training Partnership,Cheltenham,GL54 2BD
136299,Northampton School for Boys,Northampton,NN1 5RT
136308,Ashmole Academy (North London Teaching Alliance),London ,N14 5RJ
136310,Tudor Grange Initial Teacher Training,Solihull,B91 3PD
136312,Kernow Initial Teacher Education,Newquay,TR7 2JU
136313,Thinking Horizons (TSAT),Rochester,ME1 3BY
136317,"Dover, Deal and Sandwich Partnership",Sandwich,CT13 0FA
136319,Denbigh High School,,
136323,John Taylor High School,Burton on Trent,DE13 8AZ
136324,Canterbury and Swale Teacher Training Alliance,Brenchley Road,ME10 4EG
136333,Arden Alliance,Solihull,B93 0PT
136341,Lampton Academy,Lampton Avenue,TW3 4EP
136343,Delta Academies Trust,Knottingley,WF11 0EP
136353,Odyssey Learning Alliance,Cheltenham,GL51 0HG
136359,Dartford Grammar School,Dartford,DA1 2HW
136386,Whitburn Church of England Academy,Sunderland,SR6 7EF
136400,University of Brighton Academies Trust School Direct Programme,Brighton,BN1 8AF
136406,Summit Learning Trust,Widney Manor Road,B91 3WR
136414,The de Ferrers Trust,Burton-on-Trent,DE13 0LL
136418,The Compton School,North Finchley,N12 0QG
136419,Astra Amersham Hub,Amersham,HP6 5HA
136420,TeachSlough,Upton,SL3 7PR
136421,Aspirational Teaching Alliance of St. Helens,Newton-leWillows,WA12 0AD
136451,NIoT@North East SCITT,Peterlee,SR8 1AU
136456,TKAT (School Direct),Sidcup,DA14 5AA
136459,CAT Institute of Education,Tamworth,B78 1QT
136460,St Joseph's College SCITT (School Direct),Trent Vale,ST4 5NT
136463,"The Cambridge Training School Network Partnership, CTSN",Comberton,CB23 7DU
136468,The Denbigh Alliance,Milton Keynes,MK5 6EX
136469,South Worcestershire and ITT Consortium,Evesham,WR11 4QH
136471,Lincroft Academy,Bedford,MK44 1JL
136474,Balcarras School,Cheltenham,GL53 8QF
136486,WISE Initial Teacher Training (WITT) School Direct,Sunderland,SR5 4NX
136488,Sponne School,Northampton,NN12 6DJ
136496,Devonport High School for Boys,Plymouth,PL1 5QP
136500,SUPA Salisbury,Salisbury,SP1 2ED
136515,Springwood High School,Gaywood,PE30 4AW
136522,Cranford Community College,Hounslow,TW5 9PD
136530,The Rutland and District School Federation,Oakham,LE15 6RP
136544,Hope Sentamu Learning Trust,York,YO30 6ZS
136549,BTSA (Bart’s Training and Support Alliance),Stoke-on-Trent,ST3 4TP
136552,Goldington Academy,Bedford,MK41 9BX
136559,Redborne Upper School And Community College,Ampthill,MK45 2NU
136572,The Roseland Academy,Truro,TR2 5SE
136579,Benfleet TSA (Teacher Training),Benfleet,SS7 5RN
136580,Cambridge Meridian Academies Trust & Swavesey Village College,Cambridge,CB24 4RS
136582,Valley Invicta Teacher Training (VITT),"Huntsman Lane, Maidstone",ME14 5DS
136584,East Kent Learning Alliance,Herne Bay,CT6 7AH
136597,Aspire Academy Trust,"St Austell Business Park, StAustell,",PL25 4FD
136603,Bennett Memorial Diocesan School,Tunbridge Wells,TN4 9SH
136605,William de Ferrers School,Chelmsford,CM3 5JU
136616,Wood Green ITT Alliance,WEDNESBURY ,WS10 9QU
136617,Pathfinder Teaching School Hub,York,YO10 5ZA
136618,Windsor Academy Trust,Halesowen,B63 3HY
136628,The West Bridgford School,Nottingham,NG2 7FA
136630,Pickwick Learning,Corsham,SN13 9YW
136633,Five Towns ITT Partnership,Castleford,WF10 4JQ
136637,Maiden Erlegh Institute,Earley,RG6 7HS
136643,Bohunt Education Trust,Liphook,GU30 7NY
136644,Bromley Schools' Collegiate Eliot Bank Gordonbrock,"Hayes, Bromley",BR2 7DB
136652,The Arnewood School Academy,New Milton,BH25 6RS
136654,Wildern School,Southampton,SO304EJ
136657,Ringwood School Teaching Alliance,Ringwood,BH24 1SE
136662,Thames Gateway Teaching School Hub,Strood,ME2 2SX
136664,Skipton Girls' High School,Skipton,BD23 1QL
136713,The Bedfordshire Schools  Training Partnership,Stotfold,SG5 4HB
136715,Hampshire SCITT Partnership (School Direct),Chandlers Ford,SO53 2DW
136718,Aston Community Education Trust,Sheffield,S26 4SF
136722,North Somerset Teaching Alliance,Bristol ,BS48 3BX
136735,St Edward's College Teaching Partnership ,Liverpool,L12 1LF
136761,Lord Scudamore Primary Academy,Hereford,HR4 0AS
136772,Cleeve School,Cheltenham,GL528AE
136776,Saffron Walden County High School,Saffron Walden,CB11 4UH
136779,The Heath Consortium,Runcorn,WA7 4SY
136781,Astra Marlow Hub,Marlow,SL7 2BR
136786,Shires Teaching Alliance,Studley,B80 7QX
136814,Thorndown Primary School,St Ives,PE27 6SE
136828,Collingwood College,Camberley,GU15 4AE
136846,Astra Aylesbury Hub,Aylesbury,HP21 7RP
136847,Mascalls Training Partnership,Paddock Wood,TN12 6LT
136854,ORTU Trust (Gable Hall),"",SS17 8JT
136873,Mounts Bay,Penzance,TR18 3JT
136878,Toot Hill School (Nottinghamshire Torch SCITT),Bingham,NG13 8BL
136882,Aston Manor Academy,Birmingham,B6 4PZ
136891,The Wokingham Federation,"",""
136899,Parmiter's School,Garston,WD25 0UU
136901,St Clement Danes School,Chorleywood,WD3 6EW
136906,George Abbot SCITT School Direct,Guildford,GU1 1XX
136908,Fairfax Academy,Newcastle-Under-Lyme,ST5 5BG
136913,Crispin School with the Mid Somerset Consortium,Street,BA16 0AD
136914,Glenthorne High School,Sutton,SM3 9PS
136924,Woodrush Training Consortium,Birmingham,B47 5JW
136963,The Lion Alliance,"",CV3 6EA
136979,Alliance of Leading Learning,Oswestry,SY11 2AR
136988,Abbey Infants' School,Darlington,DL3 8JA
137042,Darlington West Park Partnership,Darlington,DL2 2GF
